Laptop,Status,Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Final Price
ASUS TUF Gaming F17 FX707ZU4-HX005 Intel Core i7-12700H/16GB/1TB SSD/RTX 4050/17.3'',New,Asus,TUF,Intel Core i7,16,1000,SSD,RTX 4050,17.3,No,1619.0
"MSI Creator Z17 HX Studio A13VGT-046ES Intel Core i7-13700HX/32GB/1TB SSD/RTX 4070/17"" Táctil",New,MSI,Creator,Intel Core i7,32,1000,SSD,RTX 4070,17.0,Yes,3129.0
"Razer Blade 17 QHD 240Hz Intel Core i7-12800H/16GB/1TB SSD/RTX 3070Ti/17.3""",New,Razer,Blade,Intel Core i7,16,1000,SSD,RTX 3070,17.3,No,3499.99
"Acer Extensa 15 EX215-54-31DH Intel Core i3-1115G4/8GB/256GB SSD/15.6""",New,Acer,Extensa,Intel Core i3,8,256,SSD,,15.6,No,394.0
"MSI Summit E16 Flip A13VFT-082ES Intel Core i7-1360P/32GB/1TB SSD/RTX 4060/16"" Táctil",New,MSI,Summit,Intel Core i7,32,1000,SSD,RTX 4060,16.0,Yes,2499.0
"ASUS VivoBook F1605PA-MB091W Intel Core i5-11300H/8GB/512GB SSD/16""",New,Asus,VivoBook,Intel Core i5,8,512,SSD,,16.0,No,549.99
"Medion Erazer Deputy P10 MD62132 Intel Core i5-10300H/8GB/512GB SSD/GTX 1660Ti/15.6""",New,Medion,Deputy,Intel Core i5,8,512,SSD,GTX 1660,15.6,No,999.0
"HP OMEN 16-B1006NS Intel Core i7-12700H/16GB/1TB SSD/RTX 3060/16.1""",New,HP,Omen,Intel Core i7,16,1000,SSD,RTX 3060,16.1,No,1699.01
"ASUS Chromebook CX1400CNA-EK0225 Intel Celeron N3350/8GB/32GB eMMC/14""",New,Asus,Chromebook,Intel Celeron,8,32,eMMC,,14.0,No,349.0
"Alurin Flex Advance Intel Core i5-1155G7/8GB/500GB SSD/15.6""",New,Alurin,Flex Advance,Intel Core i5,8,500,SSD,,15.6,No,500.0
"Microsoft Surface Laptop 5 Alcántara Intel Evo Core i5-1235U/8GB/256GB SSD/13.5"" Táctil",New,Microsoft,Surface Laptop,Intel Evo Core i5,8,256,SSD,,13.5,Yes,1179.0
"LG Gram 16Z90Q Intel Evo Core i7-1260P/32GB/1TB SSD/16""",New,LG,Gram,Intel Evo Core i7,32,1000,SSD,,16.0,No,1819.01
"MSI Prestige 13 Evo A13M-032ES Intel Evo Core i7-1360P/16GB/1TB SSD/13.3""",New,MSI,Prestige,Intel Evo Core i7,16,1000,SSD,,13.3,No,1499.01
"MSI Prestige 16 Studio A13VF-041ES Intel Core i7-13700H/32GB/1TB SSD/RTX 4060/16""",New,MSI,Prestige,Intel Core i7,32,1000,SSD,RTX 4060,16.0,No,2239.01
"ASUS ROG Strix Scar 16 2023 G634JY-NM014W Intel Core i9-13980HX/32GB/2TB SSD/RTX 4090/16""",New,Asus,14w,Intel Core i9,32,2000,SSD,RTX 4090,16.0,No,4949.01
"Acer Predator Triton 300 SE PT316-51s-74LT Intel Core i7-12700H/16GB/512GB SSD/RTX 3050Ti/16""",New,Acer,Predator,Intel Core i7,16,512,SSD,RTX 3050,16.0,No,1589.01
"HP OMEN 16-b1025ns Intel Core i7-12700H/32GB/1TB SSD/RTX 3070/16.1""",New,HP,Omen,Intel Core i7,32,1000,SSD,RTX 3070,16.1,No,1999.0
"ASUS ExpertBook B1 B1402CBA-EB0821X Intel Core i7-1255U/16GB/512GB SSD/14""",New,Asus,ExpertBook,Intel Core i7,16,512,SSD,,14.0,No,1189.0
"MSI Titan GT77 HX 13VH-008ES Intel Core i9-13980HX/64GB/2TB SSD/RTX 4080/17.3"" + Bundle Gaming",New,MSI,Titan,Intel Core i9,64,2000,SSD,RTX 4080,17.3,No,4899.0
"HP 250 G9 Intel Core i5-1235U/8 GB/512GB SSD/15.6""",New,HP,250,Intel Core i5,8,512,SSD,,15.6,No,559.01
"HP 250 G9 Intel Core i3-1215U/8 GB/256GB SSD/15.6""",New,HP,250,Intel Core i3,8,256,SSD,,15.6,No,417.99
"LG Gram 17Z90Q Intel Core i7-1260P/16GB/512GB SSD/RTX 2050/17""",New,LG,Gram,Intel Core i7,16,512,SSD,RTX 2050,17.0,No,1409.01
"ASUS ROG Zephyrus M16 2023 GU604VY-NM001W Intel Core i9-13900H/32GB/2TB SSD/RTX 4090/16""",New,Asus,ROG,Intel Core i9,32,2000,SSD,RTX 4090,16.0,No,4299.0
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 5 5600H/16 GB/512 GB SSD/RTX3050/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,RTX 3050,15.6,No,879.0
"Apple MacBook Pro Apple M1 Max/32GB/1TB SSD/16.2"" Plata",New,Apple,MacBook Pro,Apple M1,32,1000,SSD,,16.2,No,3849.0
"Acer Predator Triton 300 SE PT314-52s-76F0 Intel Core i7-12700H/16GB/512GB SSD/RTX 3060/14""",New,Acer,Predator,Intel Core i7,16,512,SSD,RTX 3060,14.0,No,1739.0
"ASUS VivoBook 15 F1500EA-EJ3108W Intel Core i5-1135G7/16GB/1TB SSD/15.6""",New,Asus,VivoBook,Intel Core i5,16,1000,SSD,,15.6,No,665.0
"ASUS TUF Gaming F15 FX507ZU4-LP004 Intel Core i7-12700H/32GB/1TB SSD/RTX 4050/15.6""",New,Asus,TUF,Intel Core i7,32,1000,SSD,RTX 4050,15.6,No,1699.01
"Acer Nitro 5 AN517-55-75RS Intel Core i7-12700H/16GB/512GB SSD/RTX 3060/17.3""",New,Acer,Nitro,Intel Core i7,16,512,SSD,RTX 3060,17.3,No,1629.0
"Primux IoxBook 15I3A Intel Core i3-1005G1/8GB/256GB SSD/15.6""",New,Primux,Ioxbook,Intel Core i3,8,256,SSD,,15.6,No,283.42
Lenovo Legion 5 15ACH6H-289 AMD Ryzen 5 5600H/8GB/512GB SSD/RTX3060/15.6'' (PT),New,Lenovo,Legion,AMD Ryzen 5,8,512,SSD,RTX 3060,15.6,No,1252.5
"ASUS ROG Strix SCAR 15 G533ZS-HF043 Intel Core i9-12900H/32GB/1TB SSD/RTX 3080/15.6""",New,Asus,ROG,Intel Core i9,32,1000,SSD,RTX 3080,15.6,No,3499.0
"Lenovo IdeaPad Flex 5 14ITL05 Intel Core i5-1135G7/16GB/512GB SSD/14"" Táctil",New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,,14.0,Yes,829.01
"Samsung Galaxy Book3 Intel Core i7-1355U/16GB/512GB SSD/15.6""",New,Samsung,Galaxy Book,Intel Core i7,16,512,SSD,,15.6,No,1169.01
"ASUS VivoBook F1605PA-MB090W Intel Core i7-11370H/16GB/512GB SSD/16""",New,Asus,VivoBook,Intel Core i7,16,512,SSD,,16.0,No,769.0
"Lenovo V15 Gen 2 ALC AMD Ryzen 3 5300U/8GB/512GB SSD/15.6""",New,Lenovo,V15,AMD Ryzen 3,8,512,SSD,,15.6,No,399.0
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 7 5800H/16GB/1TB SSD/RTX3060/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 7,16,1000,SSD,RTX 3060,15.6,No,1269.0
"Acer Nitro 5 AN515-58-591S Intel Core i5-12500H/16GB/1TB SSD/RTX 3060/15.6""",Refurbished,Acer,Nitro,Intel Core i5,16,1000,SSD,RTX 3060,15.6,No,881.13
"LG Gram 15ZD90R-G.AX75B Intel Evo Core i7-1360P/16GB/512GB SSD/15""",New,LG,Gram,Intel Evo Core i7,16,512,SSD,,15.0,No,1549.0
"HP Victus 16-e1015ns AMD Ryzen 7 6800H/16GB/512GB SSD/RTX 3050/16.1""",New,HP,Victus,AMD Ryzen 7,16,512,SSD,RTX 3050,16.1,No,1629.0
"Samsung Galaxy Book3 Intel Core i5-1335U/8GB/512GB SSD/15.6""",New,Samsung,Galaxy Book,Intel Core i5,8,512,SSD,,15.6,No,924.98
"LG Gram 17Z90P Intel Evo Core i7-1165G7/32GB/512GB SSD/17""",New,LG,Gram,Intel Evo Core i7,32,512,SSD,,17.0,No,2360.08
"HP Pavilion 14-dv2012ns Intel Core i7-1255U/16GB/1TB SSD/14""",New,HP,Pavilion,Intel Core i7,16,1000,SSD,,14.0,No,1409.01
"Dell Vostro 5625 AMD Ryzen 5 5625U/8GB/256GB SSD/16""",New,Dell,Vostro,AMD Ryzen 5,8,256,SSD,,16.0,No,829.0
"HP Pavilion Plus 14-eh0006ns Intel Core i7-12700H/16GB/1TB SSD/14""",New,HP,Pavilion,Intel Core i7,16,1000,SSD,,14.0,No,1629.0
"MSI Stealth 17 Studio A13VH-031ES Intel Core i7-13700H/32GB/1TB SSD/RTX 4080/17.3""",New,MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4080,17.3,No,3599.0
"ASUS ROG Strix SCAR 17 2023 G733PZ-LL002 AMD Ryzen 9 7945HX/32GB/1TB SSD/RTX 4080/17.3""",New,Asus,ROG,AMD Ryzen 9,32,1000,SSD,RTX 4080,17.3,No,2999.01
"ASUS Vivobook 14 F1400EA-EK1543W Intel Core i3-1115G4/8GB/256GB SSD/14""",New,Asus,VivoBook,Intel Core i3,8,256,SSD,,14.0,No,549.0
"ASUS VivoBook Pro 16X OLED N7600ZE-L2109 Intel Core i7-12700H/32GB/512GB SSD/RTX 3050 Ti/16""",New,Asus,VivoBook,Intel Core i7,32,512,SSD,RTX 3050,16.0,No,2089.0
"Apple Macbook Air Apple M2/8GB/512GB SSD/GPU Deca Core/13.6"" Midnight",New,Apple,MacBook Air,Apple M2,8,512,SSD,,13.6,No,1869.0
"Dell Vostro 3510 Intel Core i5-1135G7/8GB/512GB SSD/15.6""",New,Dell,Vostro,Intel Core i5,8,512,SSD,,15.6,No,738.55
"MSI Katana GF66 12UE-1203XES Intel Core i5-12450H/16GB/512GB SSD/RTX3060/15.6""",New,MSI,Katana,Intel Core i5,16,512,SSD,RTX 3060,15.6,No,1349.0
"Acer Predator Helios 300 PH315-55-79BN Intel Core i7-12700H/32GB/1TB SSD/RTX3070/15.6""",New,Acer,Predator,Intel Core i7,32,1000,SSD,RTX 3070,15.6,No,2389.0
"ASUS Vivobook 17 F712EA-AU678W Intel Core i5-1135G7/16GB/512GB SSD/17.3""",New,Asus,VivoBook,Intel Core i5,16,512,SSD,,17.3,No,889.0
"MSI Stealth 17 Studio A13VI-030ES Intel Core i7-13700H/32GB/1TB SSD/RTX 4090/17.3""",New,MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4090,17.3,No,3818.77
"Apple Macbook Air 2023 Apple M2/8GB/512GB SSD/GPU Deca Core/15.3"" Gris Espacial",New,Apple,MacBook Air,Apple M2,8,512,SSD,,15.3,No,1829.0
"Gigabyte AORUS 5 SE4-73ES214SD Intel Core i7-12700H/16GB/1TB SSD/RTX 3070/15.6""",New,Gigabyte,Aorus,Intel Core i7,16,1000,SSD,RTX 3070,15.6,No,1949.01
"Primux ioxbook 15R5C AMD Ryzen 5 3450U/8GB/512GB SSD/15.6""",New,Primux,Ioxbook,AMD Ryzen 5,8,512,SSD,,15.6,No,338.81
"ASUS VivoBook 13 Slate OLED T3300KA-LQ069W Intel Pentium Silver N6000/8GB/128GB SSD/13.3"" Táctil",New,Asus,VivoBook,Intel Pentium,8,128,SSD,,13.3,Yes,776.14
"Lenovo IdeaPad Flex 5 14ITL05 Intel Core i7-1165G7/16GB/512GB SSD/14"" Táctil",New,Lenovo,IdeaPad,Intel Core i7,16,512,SSD,,14.0,Yes,979.0
"Apple Macbook Air Apple M2/16GB/512GB SSD/GPU Deca Core/13.6"" Midnight",New,Apple,MacBook Air,Apple M2,16,512,SSD,,13.6,No,1969.01
"Acer Nitro 5 AN517-55-78S2 Intel Core i7-12700H/16GB/512GB SSD/RTX 3050Ti/17.3""",New,Acer,Nitro,Intel Core i7,16,512,SSD,RTX 3050,17.3,No,1539.0
"ASUS Chromebook CX1400CNA-EK0238 Intel Celeron N3350/4GB/32GB eMMC/14""",New,Asus,Chromebook,Intel Celeron,4,32,eMMC,,14.0,No,299.0
"Alurin Flex Advance AMD Ryzen 5 5500U/8GB/500GB SSD/15.6""",New,Alurin,Flex Advance,AMD Ryzen 5,8,500,SSD,,15.6,No,459.0
"Lenovo V15 IGL Intel Celeron N4020/8GB/256GB SSD/15.6""",New,Lenovo,V15,Intel Celeron,8,256,SSD,,15.6,No,322.49
"MSI Summit E13 Flip Evo A13MT-087ES Intel Evo Core i7-1360P/32GB/1TB SSD/13.4"" Táctil",New,MSI,Summit,Intel Evo Core i7,32,1000,SSD,,13.4,Yes,1899.0
"Acer Extensa 15 EX215-54 Intel Core i3-1115G4/8GB/256GB SSD/15.6""",New,Acer,Extensa,Intel Core i3,8,256,SSD,,15.6,No,413.99
"Acer Predator Triton 500 SE PT516-51s-79HF Intel Core i7-11800H/16GB/1TB SSD/RTX 3060/16""",New,Acer,Predator,Intel Core i7,16,1000,SSD,RTX 3060,16.0,No,1929.01
"Lenovo IdeaPad 3 15ALC6-913 AMD Ryzen 7 5700U/8GB/512GB SSD/15.6"" (PT)",New,Lenovo,IdeaPad,AMD Ryzen 7,8,512,SSD,,15.6,No,730.97
"MSI Creator M16 B13UDX-686ES Intel Core i7-13700H/16GB/1TB SSD/RTX 3050/16""",New,MSI,Creator,Intel Core i7,16,1000,SSD,RTX 3050,16.0,No,1699.01
"MSI Creator M16 B13VE-683ES Intel Core i7-13700H/16GB/1TB SSD/RTX 4050/16""",New,MSI,Creator,Intel Core i7,16,1000,SSD,RTX 4050,16.0,No,1899.01
"MSI Raider GE68 HX 13VG-043ES Intel Core i7-13700HX/32GB/1TB SSD/RTX 4070/16""",New,MSI,Raider,Intel Core i7,32,1000,SSD,RTX 4070,16.0,No,2578.38
"Medion Erazer Crawler E40 Intel Core i5-13420H/16GB/1TB SSD/RTX 4050/15.6""",New,Medion,Erazer,Intel Core i5,16,1000,SSD,RTX 4050,15.6,No,1119.01
"Medion Erazer Defender P40 Intel Core i7-13700HX/16GB/1TB SSD/RTX 4060/17.3""",New,Medion,Erazer,Intel Core i7,16,1000,SSD,RTX 4060,17.3,No,1629.0
"HP OMEN 16-k0023ns Intel Core i9-12900H/32GB/1TB SSD/RTX 3070 Ti/16.1""",New,HP,Omen,Intel Core i9,32,1000,SSD,RTX 3070,16.1,No,2399.01
"MSI Summit E13 Flip Evo A13MT-229ES Intel Evo Core i7-1360P/16GB/512GB SSD/13.4"" Táctil",New,MSI,Summit,Intel Evo Core i7,16,512,SSD,,13.4,Yes,1709.0
"HP OMEN 17-ck1002ns Intel Core i7-12700H/32GB/1TB SSD/RTX 3060/17.3""",New,HP,Omen,Intel Core i7,32,1000,SSD,RTX 3060,17.3,No,1799.0
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1135G7/16 GB/512 GB SSD/15.6""",New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,,15.6,No,729.0
"MSI Raider GE68HX 13VF-044ES Intel Core i9-13950HX/32GB/1TB SSD/RTX 4060/16""",New,MSI,Raider,Intel Core i9,32,1000,SSD,RTX 4060,16.0,No,2899.0
"MSI Stealth 16 Studio A13VF-039XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4060/16""",New,MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4060,16.0,No,2059.76
"MSI Stealth 16 Studio A13VF-037ES Intel Core i7-13700H/32GB/1TB SSD/RTX 4060/16""",New,MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4060,16.0,No,2459.01
"ASUS TUF Dash F15 FX517ZR-HN081 Intel Core i7-12650H/32GB/1TB SSD/RTX 3070/15.6""",New,Asus,TUF,Intel Core i7,32,1000,SSD,RTX 3070,15.6,No,1889.0
"MSI Stealth 16 Studio A13VF-041XES Intel Core i7-13700H/16GB/1TB SSD/RTX 4060/16""",New,MSI,Stealth,Intel Core i7,16,1000,SSD,RTX 4060,16.0,No,2249.0
"HP Victus 15-fa0023np Intel Core i5-12450H/16GB/512GB SSD/RTX 3050/15.6"" (PT)",New,HP,Victus,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,1049.99
"ASUS ROG Strix Scar 16 2023 G634JZ-N4004 Intel Core i9-13980HX/32GB/1TB SSD/RTX 4080/16""",New,Asus,ROG,Intel Core i9,32,1000,SSD,RTX 4080,16.0,No,3099.0
"Prixton Flex Pro Intel Celeron N4020/4GB/64GB/11.6"" Táctil",New,Prixton,Flex,Intel Celeron,4,64,,,11.6,Yes,329.95
"MSI Titan GT77 HX 13VI-006ES Intel Core i9-13980HX/128GB/2TB SSD/RTX 4090/17.3"" + Bundle Gaming",New,MSI,Titan,Intel Core i9,128,2000,SSD,RTX 4090,17.3,No,5999.0
"Alurin Go Intel Pentium N4200/8GB/128GB SSD/14.1""",New,Alurin,Go,Intel Pentium,8,128,SSD,,14.1,No,385.0
"LG Gram 17Z95P Intel Evo Core i7-1195G7/16GB/512GB SSD/17""",New,LG,Gram,Intel Evo Core i7,16,512,SSD,,17.0,No,1799.0
ASUS ROG Flow X16 2023 GV601VI-NL017W Intel Core i9-13900H/32GB/1TB SSD/RTX 4070/16'' Táctil,New,Asus,ROG,Intel Core i9,32,1000,SSD,RTX 4070,16.0,Yes,2999.0
"Samsung Galaxy Book3 Pro 360 Intel Evo Core i7-1360P/16GB/512GB SSD/16"" Táctil",New,Samsung,Galaxy Book,Intel Evo Core i7,16,512,SSD,,16.0,Yes,2089.0
"Alurin Flex Advance Intel Core i7-1255U/16GB/500GB SSD/15.6""",New,Alurin,Flex Advance,Intel Core i7,16,500,SSD,,15.6,No,739.0
"HP Envy 16-h0005ns Intel Core i7-12700H/16GB/1TB SSD/RTX 3060/16""",New,HP,Envy,Intel Core i7,16,1000,SSD,RTX 3060,16.0,No,1999.0
"MSI Stealth 16 Studio A13VG-034ES Intel Core i7-13700H/32GB/1TB SSD/RTX 4070/16""",New,MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4070,16.0,No,2749.0
"Acer Swift X SFX14-41G-R477 AMD Ryzen 7 5700U/16GB/1TB SSD/RTX3050Ti/14""",New,Acer,Swift,AMD Ryzen 7,16,1000,SSD,RTX 3050,14.0,No,1473.01
"MSI Creator Z16 HX Studio B13VFTO-045ES Intel Core i9-13950HX/32 GB/1TB SSD/RTX 4060/16"" Táctil",New,MSI,Creator,Intel Core i9,32,1000,SSD,RTX 4060,16.0,Yes,2899.0
"Samsung Galaxy Book3 360 Intel Evo Core i5/16GB/512GB SSD/13.3"" Táctil",New,Samsung,Galaxy Book,Intel Evo Core i5,16,512,SSD,,13.3,Yes,1489.0
"ASUS VivoBook 15 F1502ZA-EJ1033W Intel Core i5-1235U/16GB/512GB SSD/15.6""",New,Asus,VivoBook,Intel Core i5,16,512,SSD,,15.6,No,615.97
"Gigabyte AERO 14 OLED BMF-72ESBB4SH Intel Core i7-13700H/16GB/1TB SSD/RTX 4050/14""",New,Gigabyte,Aero,Intel Core i7,16,1000,SSD,RTX 4050,14.0,No,1969.01
"MSI Creator Z16 HX Studio B13VGTO-033ES Intel Core i7-13700HX/32GB/1TB SSD/RTX 4070/16"" Táctil",New,MSI,Creator,Intel Core i7,32,1000,SSD,RTX 4070,16.0,Yes,2949.0
"MSI Stealth 14 Studio A13VF-050ES Intel Core i7-13700H/16GB/1TB SSD/RTX 4060/14""",New,MSI,Stealth,Intel Core i7,16,1000,SSD,RTX 4060,14.0,No,2349.01
"Apple MacBook Pro Intel Core i5/8GB/256GB/13"" Plateado",Refurbished,Apple,MacBook Pro,Intel Core i5,8,256,,,13.0,No,634.25
"ASUS ZenBook Pro Duo 15 OLED UX582ZM-H2030W Intel Core i7-12700H/32GB/1TB SSD/RTX 3060/15.6"" Táctil",New,Asus,ZenBook,Intel Core i7,32,1000,SSD,RTX 3060,15.6,Yes,2799.0
"ASUS ROG Zephyrus Duo 16 2023 GX650PY-NM003W AMD Ryzen 9 7945HX/64GB/2TB+2TB SSD/RTX 4090/16""",New,Asus,ROG,AMD Ryzen 9,64,2000,SSD,RTX 4090,16.0,No,5159.0
"Gigabyte AERO 17 XE5-73ES738HP Intel Core i7-12700H/16GB/2TB SSD/RTX 3070Ti/17.3""",New,Gigabyte,Aero,Intel Core i7,16,2000,SSD,RTX 3070,17.3,No,2999.0
"Microsoft Surface GO 3 Intel Pentium Gold 6500Y/8GB/128GB SSD/10.5"" Táctil",New,Microsoft,Surface Go,Intel Pentium,8,128,SSD,,10.5,Yes,599.01
"HP Victus 15-fa1002ns Intel Core i7-13700H/16GB/512GB SSD/RTX 4050/15.6""",New,HP,Victus,Intel Core i7,16,512,SSD,RTX 4050,15.6,No,1299.01
"MSI Prestige 16 A12UD-221XES Intel Core i7-1280P/16GB/1TB SSD/RTX 3050Ti/16""",New,MSI,Prestige,Intel Core i7,16,1000,SSD,RTX 3050,16.0,No,1889.0
"Apple MacBook Pro Apple M2 Max/32GB/1TB SSD/16.2"" Plata",New,Apple,MacBook Pro,Apple M2,32,1000,SSD,,16.2,No,3799.0
"Apple MacBook Pro Apple M2 Max/32GB/1TB SSD/14.2"" Gris Espacial",New,Apple,MacBook Pro,Apple M2,32,1000,SSD,,14.2,No,3379.01
"Apple MacBook Air Apple M1/8GB/512GB SSD/GPU Hepta Core/13.3"" Gris Espacial",New,Apple,MacBook Air,Apple M1,8,512,SSD,,13.3,No,1349.0
"HP EliteBook 840 G3 Intel Core i5-6200U/16GB/256GB SSD/14""",Refurbished,HP,EliteBook,Intel Core i5,16,256,SSD,,14.0,No,291.69
"Gigabyte AERO 16 OLED BSF-73ES994SO Intel Core i7-13700H/16GB/1TB SSD/RTX 4070/16""",New,Gigabyte,Aero,Intel Core i7,16,1000,SSD,RTX 4070,16.0,No,2309.01
"Primux ioxbook 1406F Intel Celeron N4000/4 GB/128GB SSD/14""",New,Primux,Ioxbook,Intel Celeron,4,128,SSD,,14.0,No,208.99
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 5 5500U/16 GB/512GB SSD/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,,15.6,No,689.01
"Apple Macbook Pro Apple M2/8GB/512GB SSD/GPU Deca Core/13.3"" Gris Espacial",New,Apple,MacBook Pro,Apple M2,8,512,SSD,,13.3,No,1849.0
"ASUS VivoBook 16X M1603QA-MB155 AMD Ryzen 5 5600H/8GB/512GB SSD/16""",New,Asus,VivoBook,AMD Ryzen 5,8,512,SSD,,16.0,No,437.87
"Lenovo V15 G2 Intel Core i3-1115G4/8GB/256GB SSD/15.6""",New,Lenovo,V15,Intel Core i3,8,256,SSD,,15.6,No,443.01
"Apple MacBook Pro Apple M2 Pro 12 Núcleos/16GB/1TB SSD/14.2"" Gris Espacial",New,Apple,MacBook Pro,Apple M2 Pro,16,1000,SSD,,14.2,No,2729.01
"Acer Aspire 3 A315-43-R4VC AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",New,Acer,Aspire,AMD Ryzen 5,8,512,SSD,,15.6,No,819.0
"MSI Creator Z16 HX Studio B13VFTO-046ES Intel Core i7-13700HX/16GB/1TB SSD/RTX 4060/16"" Táctil",New,MSI,Creator,Intel Core i7,16,1000,SSD,RTX 4060,16.0,Yes,2649.0
"MSI Stealth 14 Studio A13VE-052XES Intel Core i7-13700H/16GB/1TB SSD/RTX 4050/14""",New,MSI,Stealth,Intel Core i7,16,1000,SSD,RTX 4050,14.0,No,1989.01
"MSI Summit E14 FlipEvo A12MT-056ES Intel Core i7-1280P/16GB/1TB SSD/14"" Táctil",New,MSI,Summit,Intel Core i7,16,1000,SSD,,14.0,Yes,1749.82
"Microsoft Surface Laptop 5 Negro Intel Evo Core i5-1235U/8GB/512GB SSD/13.5"" Táctil",New,Microsoft,Surface Laptop,Intel Evo Core i5,8,512,SSD,,13.5,Yes,1419.0
"PcCom Revolt 3060 Intel Core i7-12700H/32GB/500GB SSD/RTX 3060/15.6""/Windows 11 Home",New,PcCom,Revolt,Intel Core i7,32,500,SSD,RTX 3060,15.6,No,1699.0
"Lenovo V15 G3 ABA AMD Ryzen 7 5825U/16GB/512GB SSD/15.6""",New,Lenovo,V15,AMD Ryzen 7,16,512,SSD,,15.6,No,619.99
"MSI Summit E14 Flip Evo A13MT-227ES Intel Evo Core i7-1360P/16GB/1TB SSD/14"" Táctil",New,MSI,Summit,Intel Evo Core i7,16,1000,SSD,,14.0,Yes,1689.0
"HP 255 G9 AMD Ryzen 3 5425U/8GB/256GB SSD/15.6""",New,HP,255,AMD Ryzen 3,8,256,SSD,,15.6,No,386.05
"Prixton Netbook Pro Intel Celeron N4020/4GB/64GB eMMC/14.1""",New,Prixton,Netbook Pro,Intel Celeron,4,64,eMMC,,14.1,No,299.94
"HP 15S-EQ2132NS AMD Ryzen 3 5300U/8GB/512GB SSD/15.6""",New,HP,15S,AMD Ryzen 3,8,512,SSD,,15.6,No,416.0
"Lenovo V15 G2 ALC AMD Ryzen 5 5500U/8GB/256GB SSD/15.6"" Negro",New,Lenovo,V15,AMD Ryzen 5,8,256,SSD,,15.6,No,529.0
"Microsoft Surface Laptop Go 2 Intel Core i5-1135G7/8GB/128GB SSD/12.4"" Táctil",New,Microsoft,Surface Laptop,Intel Core i5,8,128,SSD,,12.4,Yes,769.0
"ASUS ROG Zephyrus G14 2023 GA402XV-N2041 AMD Ryzen 9 7940HS/32GB/1TB SSD/RTX 4060/14""",New,Asus,ROG,AMD Ryzen 9,32,1000,SSD,RTX 4060,14.0,No,2299.0
"ASUS ROG Flow X13 2023 GV302XV-MU006W AMD Ryzen 9 7940HS/16GB/1TB SSD/RTX 4060/13.4"" Táctil",New,Asus,ROG,AMD Ryzen 9,16,1000,SSD,RTX 4060,13.4,Yes,1999.0
"MSI Raider GE78HX 13VH-066XES Intel Core i7-13700HX/32GB/1TB SSD/RTX 4080/17""",New,MSI,Raider,Intel Core i7,32,1000,SSD,RTX 4080,17.0,No,3699.0
"Alurin Flex Advance Intel Core i5-1155G7/8GB/500GB SSD/15.6"" + Windows 11 Home",New,Alurin,Flex Advance,Intel Core i5,8,500,SSD,,15.6,No,600.0
"HP 250 G9 Intel Core i5-1235U/16GB/512GB SSD/15.6"" Plata",New,HP,250,Intel Core i5,16,512,SSD,,15.6,No,609.01
"HP ChromeBook 14b-na0013ns AMD Athlon Silver 3050C/4GB/64GB eMMC/14""",New,HP,Chromebook,AMD Athlon,4,64,eMMC,,14.0,No,419.0
"Gigabyte AORUS 15X ASF-B3ES754SH Intel Core i9-13900HX/16GB/1TB SSD/RTX 4070/15.6""",New,Gigabyte,Aorus,Intel Core i9,16,1000,SSD,RTX 4070,15.6,No,2179.0
"Microsoft Surface Pro 9 Grafito Intel Evo Core i7-1255U/16GB/256GB SSD/13"" Táctil",New,Microsoft,Surface Pro,Intel Evo Core i7,16,256,SSD,,13.0,Yes,1859.0
"Apple MacBook Pro Apple M2 Pro 10 Núcleos/32GB/512GB SSD/14.2"" Gris Espacial",New,Apple,MacBook Pro,Apple M2 Pro,32,512,SSD,,14.2,No,2719.0
"MSI Modern 15 B12M-025XES Intel Core i5-1235U/8GB/512GB SSD/15.6""",New,MSI,Modern,Intel Core i5,8,512,SSD,,15.6,No,799.0
"MSI Stealth 14 Studio A13VF-049XES Intel Core i7-13700H/16GB/1TB SSD/RTX 4060/14""",New,MSI,Stealth,Intel Core i7,16,1000,SSD,RTX 4060,14.0,No,2159.0
ASUS M515UA-R75BLHDSS1 AMD Ryzen 7 5700U/8GB/512GB SSD/15.6'' (PT),New,Asus,M515UA,AMD Ryzen 7,8,512,SSD,,15.6,No,683.81
"MSI Creator M16 B13UDX-684XES Intel Core i7-13700H/32GB/1TB SSD/RTX 3050/16""",New,MSI,Creator,Intel Core i7,32,1000,SSD,RTX 3050,16.0,No,1699.01
