Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
Volvo,740,1990,regular unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Sedan,26,19,870,2000
Volvo,740,1990,regular unleaded,153,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Sedan,23,18,870,2000
Volvo,740,1991,regular unleaded,162,4,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Wagon,20,17,870,2000
Volvo,740,1991,regular unleaded,162,4,MANUAL,rear wheel drive,4,"Luxury,Performance",Midsize,Wagon,24,18,870,2000
Volvo,740,1991,regular unleaded,114,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,24,18,870,2000
Volvo,740,1991,regular unleaded,162,4,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,20,17,870,2000
Volvo,740,1991,regular unleaded,162,4,MANUAL,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,24,18,870,2000
Volvo,740,1991,regular unleaded,114,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,24,18,870,2000
Volvo,740,1992,regular unleaded,162,4,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Wagon,20,17,870,2000
Volvo,740,1992,regular unleaded,114,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,26,18,870,2000
Volvo,740,1992,regular unleaded,114,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,26,18,870,2000
Volvo,740,1992,regular unleaded,114,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,26,18,870,2000
Volvo,760,1990,regular unleaded,144,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,19,15,870,2000
Volvo,760,1990,regular unleaded,162,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,20,16,870,2000
Volvo,760,1990,regular unleaded,162,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,20,16,870,2000
Volvo,780,1990,regular unleaded,188,4,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Coupe,20,16,870,2000
Volvo,780,1990,regular unleaded,144,6,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Coupe,19,15,870,2000
BMW,8 Series,1995,regular unleaded,282,8,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,22,15,3916,4784
BMW,8 Series,1995,regular unleaded,322,12,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,19,12,3916,5858
BMW,8 Series,1995,regular unleaded,372,12,MANUAL,rear wheel drive,2,"Factory Tuner,Luxury,Performance",Midsize,Coupe,18,10,3916,8488
BMW,8 Series,1996,regular unleaded,322,12,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,19,12,3916,6954
BMW,8 Series,1996,regular unleaded,282,8,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,19,14,3916,5680
BMW,8 Series,1997,regular unleaded,322,12,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,19,12,3916,7624
BMW,8 Series,1997,regular unleaded,282,8,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,19,14,3916,6693
Audi,80,1990,regular unleaded,108,4,MANUAL,front wheel drive,4,Luxury,Compact,Sedan,28,19,3105,2000
Audi,80,1990,regular unleaded,130,5,MANUAL,all wheel drive,4,Luxury,Compact,Sedan,22,16,3105,2000
Audi,80,1991,regular unleaded,130,5,MANUAL,front wheel drive,4,Luxury,Compact,Sedan,24,18,3105,2000
Audi,80,1991,regular unleaded,130,5,MANUAL,all wheel drive,4,Luxury,Compact,Sedan,22,16,3105,2000
Audi,80,1992,regular unleaded,130,5,MANUAL,front wheel drive,4,Luxury,Compact,Sedan,24,18,3105,2000
Audi,80,1992,regular unleaded,130,5,MANUAL,all wheel drive,4,Luxury,Compact,Sedan,22,16,3105,2000
Volvo,850,1995,regular unleaded,222,5,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Wagon,24,17,870,2000
Volvo,850,1995,regular unleaded,168,5,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,26,18,870,2000
Volvo,850,1995,regular unleaded,240,5,AUTOMATIC,front wheel drive,4,"Factory Tuner,Luxury,Performance",Midsize,Sedan,24,17,870,2000
Volvo,850,1995,regular unleaded,168,5,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,26,18,870,2000
Volvo,850,1995,regular unleaded,168,5,MANUAL,front wheel drive,4,Luxury,Midsize,Wagon,26,18,870,2000
Volvo,850,1995,regular unleaded,222,5,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,24,17,870,2000
Volvo,850,1995,regular unleaded,168,5,MANUAL,front wheel drive,4,Luxury,Midsize,Wagon,26,18,870,2000
Volvo,850,1995,regular unleaded,240,5,AUTOMATIC,front wheel drive,4,"Factory Tuner,Luxury,Performance",Midsize,Wagon,24,17,870,2000
Volvo,850,1996,regular unleaded,222,5,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,24,17,870,2000
Volvo,850,1996,regular unleaded,222,5,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Wagon,24,17,870,2000
Volvo,850,1996,regular unleaded,168,5,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,26,18,870,2000
Volvo,850,1996,regular unleaded,222,5,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,24,17,870,2000
Volvo,850,1996,regular unleaded,240,5,AUTOMATIC,front wheel drive,4,"Factory Tuner,Luxury,Performance",Midsize,Sedan,24,17,870,2000
Volvo,850,1996,regular unleaded,168,5,MANUAL,front wheel drive,4,Luxury,Midsize,Wagon,26,18,870,2000
Volvo,850,1996,regular unleaded,240,5,AUTOMATIC,front wheel drive,4,"Factory Tuner,Luxury,Performance",Midsize,Wagon,24,17,870,2000
Volvo,850,1996,regular unleaded,222,5,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Wagon,24,17,870,2000
Volvo,850,1996,regular unleaded,168,5,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,26,18,870,2000
Volvo,850,1996,regular unleaded,168,5,MANUAL,front wheel drive,4,Luxury,Midsize,Wagon,26,18,870,2000
Volvo,850,1997,regular unleaded,168,5,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,26,18,870,2000
Volvo,850,1997,regular unleaded,168,5,MANUAL,front wheel drive,4,Luxury,Midsize,Wagon,26,18,870,2000
Volvo,850,1997,regular unleaded,240,5,AUTOMATIC,front wheel drive,4,"Factory Tuner,Luxury,Performance",Midsize,Sedan,24,17,870,2000
Volvo,850,1997,regular unleaded,222,5,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Wagon,24,17,870,2000
Volvo,850,1997,regular unleaded,240,5,AUTOMATIC,front wheel drive,4,"Factory Tuner,Luxury,Performance",Midsize,Wagon,24,17,870,2091
Volvo,850,1997,regular unleaded,190,5,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Wagon,24,18,870,2000
Volvo,850,1997,regular unleaded,190,5,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,24,18,870,2000
Volvo,850,1997,regular unleaded,222,5,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,24,17,870,2000
Toyota,86,2017,premium unleaded (recommended),205,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,28,21,2031,26255
Toyota,86,2017,premium unleaded (recommended),200,4,AUTOMATIC,rear wheel drive,2,Performance,Compact,Coupe,32,24,2031,26975
Saab,9-2X,2005,premium unleaded (required),227,4,MANUAL,all wheel drive,4,"Luxury,Performance",Compact,Wagon,24,17,376,26950
Saab,9-2X,2005,regular unleaded,165,4,MANUAL,all wheel drive,4,"Luxury,Performance",Compact,Wagon,27,20,376,22990
Saab,9-2X,2006,premium unleaded (required),230,4,MANUAL,all wheel drive,4,"Luxury,Performance",Compact,Wagon,25,18,376,26950
Saab,9-2X,2006,regular unleaded,173,4,MANUAL,all wheel drive,4,Luxury,Compact,Wagon,26,19,376,22990
Saab,9-3 Griffin,2012,flex-fuel (premium unleaded recommended/E85),220,4,MANUAL,front wheel drive,4,"Flex Fuel,Luxury",Midsize,Sedan,33,20,376,28900
Saab,9-3 Griffin,2012,flex-fuel (premium unleaded recommended/E85),220,4,MANUAL,front wheel drive,2,"Flex Fuel,Luxury",Compact,Convertible,33,20,376,44080
Saab,9-3 Griffin,2012,flex-fuel (premium unleaded recommended/E85),220,4,MANUAL,front wheel drive,2,"Flex Fuel,Luxury",Compact,Convertible,33,20,376,46080
Saab,9-3 Griffin,2012,premium unleaded (recommended),220,4,MANUAL,all wheel drive,4,Luxury,Midsize,Sedan,30,20,376,37115
Saab,9-3 Griffin,2012,flex-fuel (premium unleaded recommended/E85),220,4,MANUAL,front wheel drive,2,"Flex Fuel,Luxury",Compact,Convertible,33,20,376,39490
Saab,9-3 Griffin,2012,flex-fuel (premium unleaded recommended/E85),220,4,MANUAL,front wheel drive,4,"Flex Fuel,Luxury",Midsize,Sedan,33,20,376,34340
Saab,9-3 Griffin,2012,flex-fuel (premium unleaded recommended/E85),220,4,AUTOMATIC,front wheel drive,2,"Flex Fuel,Luxury",Compact,Convertible,28,18,376,44080
Saab,9-3 Griffin,2012,flex-fuel (premium unleaded recommended/E85),220,4,AUTOMATIC,front wheel drive,2,"Flex Fuel,Luxury",Compact,Convertible,28,18,376,40840
Saab,9-3 Griffin,2012,flex-fuel (premium unleaded recommended/E85),220,4,AUTOMATIC,front wheel drive,4,"Flex Fuel,Luxury",Compact,Wagon,28,18,376,31180
Saab,9-3 Griffin,2012,premium unleaded (recommended),220,4,MANUAL,all wheel drive,4,Luxury,Midsize,Sedan,30,20,376,32395
Saab,9-3 Griffin,2012,flex-fuel (premium unleaded recommended/E85),220,4,AUTOMATIC,front wheel drive,4,"Flex Fuel,Luxury",Midsize,Sedan,29,19,376,34340
Saab,9-3 Griffin,2012,premium unleaded (recommended),220,4,AUTOMATIC,all wheel drive,4,Luxury,Compact,Wagon,29,18,376,34975
Saab,9-3 Griffin,2012,premium unleaded (recommended),220,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,29,18,376,37115
Saab,9-3 Griffin,2012,premium unleaded (recommended),220,4,MANUAL,all wheel drive,4,Luxury,Compact,Wagon,30,20,376,34975
Saab,9-3 Griffin,2012,flex-fuel (premium unleaded recommended/E85),220,4,AUTOMATIC,front wheel drive,4,"Flex Fuel,Luxury",Midsize,Sedan,29,19,376,30250
Saab,9-3 Griffin,2012,premium unleaded (recommended),220,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,29,18,376,32395
Saab,9-3 Griffin,2012,flex-fuel (premium unleaded recommended/E85),220,4,MANUAL,front wheel drive,4,"Flex Fuel,Luxury",Compact,Wagon,33,20,376,29830
Saab,9-3 Griffin,2012,flex-fuel (premium unleaded recommended/E85),220,4,AUTOMATIC,front wheel drive,2,"Flex Fuel,Luxury",Compact,Convertible,28,18,376,46080
Saab,9-3,2009,premium unleaded (recommended),210,4,AUTOMATIC,all wheel drive,4,Luxury,Compact,Wagon,27,17,376,37810
Saab,9-3,2009,premium unleaded (recommended),280,6,AUTOMATIC,front wheel drive,2,"Luxury,Performance",Compact,Convertible,24,15,376,51330
Saab,9-3,2009,premium unleaded (recommended),210,4,AUTOMATIC,front wheel drive,4,Luxury,Compact,Wagon,27,19,376,38305
Saab,9-3,2009,premium unleaded (recommended),280,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Compact,Wagon,24,15,376,44885
Saab,9-3,2009,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,29,19,376,30360
Saab,9-3,2009,premium unleaded (recommended),210,4,MANUAL,front wheel drive,2,Luxury,Compact,Convertible,27,19,376,42130
Saab,9-3,2009,premium unleaded (recommended),280,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,24,15,376,43605
Saab,9-3,2009,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,Luxury,Compact,Wagon,29,19,376,31790
Saab,9-3,2009,premium unleaded (recommended),210,4,AUTOMATIC,front wheel drive,4,Luxury,Compact,Wagon,27,19,376,35315
Saab,9-3,2009,premium unleaded (recommended),210,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,28,19,376,37140
Saab,9-3,2009,premium unleaded (recommended),210,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,28,19,376,34150
Saab,9-3,2009,premium unleaded (recommended),210,4,AUTOMATIC,front wheel drive,2,Luxury,Compact,Convertible,27,19,376,44455
Saab,9-3,2009,premium unleaded (recommended),210,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,27,17,376,36395
Saab,9-3,2009,premium unleaded (recommended),210,4,AUTOMATIC,front wheel drive,2,Luxury,Compact,Convertible,27,19,376,47345
Saab,9-3,2010,premium unleaded (recommended),207,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,27,17,376,32395
Saab,9-3,2010,premium unleaded (recommended),207,4,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,31,21,376,28900
Saab,9-3,2010,premium unleaded (recommended),207,4,MANUAL,front wheel drive,4,Luxury,Compact,Wagon,31,21,376,30330
Saab,9-3,2010,premium unleaded (recommended),207,4,MANUAL,front wheel drive,2,Luxury,Compact,Convertible,29,20,376,39990
Saab,9-3,2010,premium unleaded (recommended),207,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,27,17,376,38115
Saab,9-3,2010,premium unleaded (recommended),207,4,AUTOMATIC,front wheel drive,2,Luxury,Compact,Convertible,27,19,376,45080
Saab,9-3,2010,premium unleaded (recommended),207,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,28,19,376,35340
Saab,9-3,2010,premium unleaded (recommended),207,4,AUTOMATIC,all wheel drive,4,Luxury,Compact,Wagon,27,17,376,36975
Saab,9-3,2010,premium unleaded (recommended),207,4,AUTOMATIC,front wheel drive,4,Luxury,Compact,Wagon,27,19,376,37020
Saab,9-3,2011,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,31,21,376,28900
Saab,9-3,2011,premium unleaded (recommended),210,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,27,17,376,38115
Saab,9-3,2011,premium unleaded (recommended),210,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,27,17,376,32395
Saab,9-3,2011,premium unleaded (recommended),210,4,MANUAL,front wheel drive,2,Luxury,Compact,Convertible,29,20,376,39990
Saab,9-3,2011,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,Luxury,Compact,Wagon,31,21,376,30330
Saab,9-3,2011,premium unleaded (recommended),210,4,AUTOMATIC,front wheel drive,4,Luxury,Compact,Wagon,27,19,376,37020
Saab,9-3,2011,premium unleaded (recommended),210,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,28,19,376,35340
Saab,9-3,2011,premium unleaded (recommended),210,4,AUTOMATIC,all wheel drive,4,Luxury,Compact,Wagon,27,17,376,36975
Saab,9-3,2011,premium unleaded (recommended),210,4,AUTOMATIC,front wheel drive,2,Luxury,Compact,Convertible,27,19,376,45080
Saab,9-4X,2011,premium unleaded (required),265,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,25,18,376,37250
Saab,9-4X,2011,premium unleaded (required),265,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,23,17,376,35875
Saab,9-4X,2011,premium unleaded (required),265,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,25,18,376,33380
Saab,9-4X,2011,premium unleaded (required),265,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,23,17,376,40245
Saab,9-4X,2011,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,22,15,376,48010
Saab,9-5,2009,premium unleaded (recommended),260,4,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,27,17,376,39400
Saab,9-5,2009,premium unleaded (recommended),260,4,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Wagon,27,17,376,43270
Saab,9-5,2009,premium unleaded (recommended),260,4,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Wagon,27,17,376,39650
Saab,9-5,2009,premium unleaded (recommended),260,4,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,27,17,376,38380
Saab,9-5,2009,premium unleaded (recommended),260,4,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Wagon,27,17,376,40765
Saab,9-5,2009,premium unleaded (recommended),260,4,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,27,17,376,42000
Saab,9-5,2010,premium unleaded (recommended),300,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,27,16,376,49165
Saab,9-5,2011,premium unleaded (recommended),220,4,MANUAL,front wheel drive,4,Luxury,Large,Sedan,33,20,376,38525
Saab,9-5,2011,premium unleaded (recommended),300,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,27,17,376,49565
Saab,9-5,2011,premium unleaded (recommended),220,4,AUTOMATIC,front wheel drive,4,Luxury,Large,Sedan,28,18,376,43435
Saab,9-5,2011,premium unleaded (recommended),300,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,27,17,376,48030
Saab,9-7X,2007,regular unleaded,290,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,4dr SUV,20,14,376,39190
Saab,9-7X,2007,regular unleaded,300,8,AUTOMATIC,all wheel drive,4,Luxury,Midsize,4dr SUV,19,13,376,41190
Saab,9-7X,2008,regular unleaded,300,8,AUTOMATIC,all wheel drive,4,Luxury,Midsize,4dr SUV,19,13,376,42770
Saab,9-7X,2008,regular unleaded,285,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,4dr SUV,20,14,376,40400
Saab,9-7X,2008,regular unleaded,390,8,AUTOMATIC,all wheel drive,4,Luxury,Midsize,4dr SUV,16,12,376,46530
Saab,9-7X,2009,regular unleaded,390,8,AUTOMATIC,all wheel drive,4,Luxury,Midsize,4dr SUV,16,12,376,49105
Saab,9-7X,2009,regular unleaded,285,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,4dr SUV,20,14,376,42615
Saab,9-7X,2009,regular unleaded,300,8,AUTOMATIC,all wheel drive,4,Luxury,Midsize,4dr SUV,20,14,376,45345
Saab,9000,1996,regular unleaded,225,4,MANUAL,front wheel drive,4,"Hatchback,Factory Tuner,Luxury,Performance",Midsize,4dr Hatchback,25,18,376,2000
Saab,9000,1996,regular unleaded,210,6,AUTOMATIC,front wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,24,16,376,2000
Saab,9000,1996,regular unleaded,170,4,MANUAL,front wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,25,18,376,2000
Saab,9000,1996,regular unleaded,200,4,MANUAL,front wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,25,18,376,2000
Saab,9000,1997,regular unleaded,210,6,AUTOMATIC,front wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,24,16,376,2122
Saab,9000,1997,regular unleaded,170,4,MANUAL,front wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,26,18,376,2000
Saab,9000,1997,regular unleaded,225,4,MANUAL,front wheel drive,4,"Hatchback,Factory Tuner,Luxury,Performance",Midsize,4dr Hatchback,26,18,376,2145
Saab,9000,1997,regular unleaded,200,4,MANUAL,front wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,26,18,376,2084
Saab,9000,1997,regular unleaded,200,4,MANUAL,front wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,26,18,376,2063
Saab,9000,1998,regular unleaded,225,4,MANUAL,front wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,25,18,376,2172
Saab,900,1996,regular unleaded,185,4,MANUAL,front wheel drive,2,"Hatchback,Luxury,Performance",Compact,2dr Hatchback,26,18,376,2000
Saab,900,1996,regular unleaded,185,4,MANUAL,front wheel drive,4,"Hatchback,Luxury,Performance",Compact,4dr Hatchback,23,15,376,2000
Saab,900,1996,regular unleaded,150,4,MANUAL,front wheel drive,4,"Hatchback,Luxury",Compact,4dr Hatchback,26,18,376,2000
Saab,900,1996,regular unleaded,170,6,AUTOMATIC,front wheel drive,4,"Hatchback,Luxury",Compact,4dr Hatchback,23,17,376,2000
Saab,900,1996,regular unleaded,185,4,MANUAL,front wheel drive,2,"Luxury,Performance",Compact,Convertible,26,18,376,2000
Saab,900,1996,regular unleaded,170,6,AUTOMATIC,front wheel drive,2,Luxury,Compact,Convertible,23,17,376,2000
Saab,900,1996,regular unleaded,150,4,MANUAL,front wheel drive,2,"Hatchback,Luxury",Compact,2dr Hatchback,26,18,376,2000
Saab,900,1996,regular unleaded,150,4,MANUAL,front wheel drive,2,Luxury,Compact,Convertible,26,18,376,2000
Saab,900,1997,regular unleaded,185,4,MANUAL,front wheel drive,2,"Hatchback,Luxury,Performance",Compact,2dr Hatchback,25,18,376,2000
Saab,900,1997,regular unleaded,170,6,AUTOMATIC,front wheel drive,4,"Hatchback,Luxury",Compact,4dr Hatchback,23,17,376,2000
Saab,900,1997,regular unleaded,150,4,MANUAL,front wheel drive,2,Luxury,Compact,Convertible,26,18,376,2000
Saab,900,1997,regular unleaded,150,4,MANUAL,front wheel drive,2,"Hatchback,Luxury",Compact,2dr Hatchback,26,18,376,2000
Saab,900,1997,regular unleaded,185,4,MANUAL,front wheel drive,2,"Luxury,Performance",Compact,Convertible,25,18,376,2078
Saab,900,1997,regular unleaded,185,4,MANUAL,front wheel drive,2,"Hatchback,Luxury,Performance",Compact,2dr Hatchback,25,18,376,2000
Saab,900,1997,regular unleaded,185,4,MANUAL,front wheel drive,4,"Hatchback,Luxury,Performance",Compact,4dr Hatchback,25,18,376,2000
Saab,900,1997,regular unleaded,185,4,MANUAL,front wheel drive,4,"Hatchback,Luxury,Performance",Compact,4dr Hatchback,25,18,376,2000
Saab,900,1997,regular unleaded,170,6,AUTOMATIC,front wheel drive,2,Luxury,Compact,Convertible,23,17,376,2117
Saab,900,1997,regular unleaded,150,4,MANUAL,front wheel drive,4,"Hatchback,Luxury",Compact,4dr Hatchback,26,18,376,2000
Saab,900,1997,regular unleaded,185,4,MANUAL,front wheel drive,2,"Luxury,Performance",Compact,Convertible,25,18,376,2115
Saab,900,1998,regular unleaded,185,4,MANUAL,front wheel drive,2,"Hatchback,Luxury",Compact,2dr Hatchback,25,18,376,2000
Saab,900,1998,regular unleaded,185,4,MANUAL,front wheel drive,4,"Hatchback,Luxury,Performance",Compact,4dr Hatchback,24,18,376,2000
Saab,900,1998,regular unleaded,185,4,MANUAL,front wheel drive,2,"Luxury,Performance",Compact,Convertible,25,18,376,2268
Saab,900,1998,regular unleaded,185,4,MANUAL,front wheel drive,2,"Hatchback,Luxury,Performance",Compact,2dr Hatchback,24,18,376,2000
Audi,90,1993,regular unleaded,172,6,MANUAL,all wheel drive,4,Luxury,Compact,Sedan,20,15,3105,2000
Audi,90,1993,regular unleaded,172,6,MANUAL,front wheel drive,4,Luxury,Compact,Sedan,24,18,3105,2000
Audi,90,1993,regular unleaded,172,6,MANUAL,front wheel drive,4,Luxury,Compact,Sedan,24,18,3105,2000
Audi,90,1994,regular unleaded,172,6,MANUAL,all wheel drive,4,Luxury,Compact,Sedan,22,17,3105,2000
Audi,90,1994,regular unleaded,172,6,MANUAL,front wheel drive,4,Luxury,Compact,Sedan,24,18,3105,2000
Audi,90,1994,regular unleaded,172,6,MANUAL,front wheel drive,4,Luxury,Compact,Sedan,24,18,3105,2000
Audi,90,1995,regular unleaded,172,6,MANUAL,all wheel drive,4,Luxury,Compact,Sedan,23,17,3105,2000
Audi,90,1995,regular unleaded,172,6,MANUAL,front wheel drive,4,Luxury,Compact,Sedan,24,17,3105,2000
Audi,90,1995,regular unleaded,172,6,MANUAL,front wheel drive,4,Luxury,Compact,Sedan,24,17,3105,2000
Porsche,911,2015,premium unleaded (required),350,6,MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Convertible,27,19,1715,96200
Porsche,911,2015,premium unleaded (required),430,6,MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Convertible,25,18,1715,132800
Porsche,911,2015,premium unleaded (required),430,6,MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Coupe,26,18,1715,120900
Porsche,911,2015,premium unleaded (required),400,6,MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Coupe,26,18,1715,105630
Porsche,911,2015,premium unleaded (required),400,6,MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Coupe,27,19,1715,98900
Porsche,911,2015,premium unleaded (required),520,6,AUTOMATED_MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Convertible,24,17,1715,163000
Porsche,911,2015,premium unleaded (required),350,6,MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Convertible,26,19,1715,102930
Porsche,911,2015,premium unleaded (required),520,6,AUTOMATED_MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Coupe,24,17,1715,151100
Porsche,911,2015,premium unleaded (required),350,6,MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Coupe,27,19,1715,91030
Porsche,911,2015,premium unleaded (required),350,6,MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Coupe,27,19,1715,84300
Porsche,911,2015,premium unleaded (required),430,6,MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Coupe,26,18,1715,114200
Porsche,911,2015,premium unleaded (required),560,6,AUTOMATED_MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Coupe,24,17,1715,182700
Porsche,911,2015,premium unleaded (required),560,6,AUTOMATED_MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Convertible,24,17,1715,194600
Porsche,911,2015,premium unleaded (required),475,6,AUTOMATED_MANUAL,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,20,15,1715,130400
Porsche,911,2015,premium unleaded (required),400,6,MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Convertible,27,19,1715,110800
Porsche,911,2015,premium unleaded (required),400,6,MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Convertible,26,18,1715,117530
Porsche,911,2015,premium unleaded (required),430,6,MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Convertible,25,18,1715,126100
Porsche,911,2015,premium unleaded (required),350,6,MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Coupe,26,18,1715,101600
Porsche,911,2015,premium unleaded (required),400,6,MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Coupe,26,18,1715,116200
Porsche,911,2016,premium unleaded (required),350,6,MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Convertible,26,19,1715,102930
Porsche,911,2016,premium unleaded (required),430,6,MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Coupe,26,18,1715,120900
Porsche,911,2016,premium unleaded (required),400,6,MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Coupe,26,18,1715,105630
Porsche,911,2016,premium unleaded (required),430,6,MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Convertible,25,18,1715,126100
