model_year,origin,fuel_type,drivetrain,num_doors,engine_displacement,num_cylinders,horsepower,vehicle_weight,acceleration,fuel_efficiency_mpg
2012,Europe,Gasoline,Rear-wheel drive,3,2190,5,228,4150,,30.7
2019,USA,Diesel,Front-wheel drive,4,2330,6,272,4370,19.5,34.3
1976,Asia,Gasoline,Front-wheel drive,4,2050,6,,4250,20.2,27.8
1987,Europe,Gasoline,Rear-wheel drive,4,2040,6,213,4220,17.9,30.9
2017,Europe,Gasoline,Rear-wheel drive,4,2630,7,277,4890,,27.5
2007,USA,Gasoline,Rear-wheel drive,2,2620,7,295,4570,19.5,24.6
1996,USA,Gasoline,Front-wheel drive,4,2110,5,228,3930,19.2,30.1
2004,USA,Hybrid,Front-wheel drive,4,2370,7,271,4650,18.3,32.2
1990,Asia,Gasoline,Front-wheel drive,3,2010,5,227,3710,18.6,31.5
1995,USA,Gasoline,Front-wheel drive,3,2300,6,258,4390,19.0,27.6
2023,Asia,Gasoline,Front-wheel drive,4,2570,7,286,4740,18.4,32.4
2017,USA,Gasoline,All-wheel drive,2,2500,6,294,4590,19.4,29.6
1991,Asia,Diesel,Front-wheel drive,4,2540,6,267,4270,20.1,27.7
1998,Asia,Gasoline,Front-wheel drive,2,2180,6,217,4000,19.8,32.4
2020,Europe,Gasoline,Rear-wheel drive,3,1980,5,229,4140,16.7,30.3
1997,USA,Diesel,Front-wheel drive,2,2580,6,300,4280,20.1,29.6
1998,Europe,Gasoline,All-wheel drive,3,2450,7,276,4270,18.6,30.1
1999,Europe,Hybrid,Front-wheel drive,4,2260,7,255,4170,19.0,36.3
1989,Asia,Gasoline,All-wheel drive,3,2330,6,242,4240,19.8,28.9
1980,USA,Gasoline,Front-wheel drive,3,2140,5,,4130,18.6,28.3
2016,Asia,Diesel,Rear-wheel drive,2,2190,6,266,4150,18.3,35.2
1978,USA,Gasoline,Rear-wheel drive,2,2150,6,227,4240,18.8,29.6
1987,Europe,Gasoline,Front-wheel drive,4,2340,6,250,4130,18.8,27.8
2010,USA,Gasoline,All-wheel drive,4,2330,6,251,4630,20.2,29.5
1990,USA,Gasoline,Front-wheel drive,5,2190,6,249,4320,20.8,28.1
1996,USA,Hybrid,Rear-wheel drive,2,2120,5,249,4300,20.6,33.2
2016,Europe,Gasoline,Front-wheel drive,4,2320,6,260,4140,17.3,29.7
2009,Asia,Diesel,Rear-wheel drive,2,2400,6,260,4180,20.6,29.8
1997,Asia,Diesel,All-wheel drive,3,2720,7,305,4630,19.0,28.4
2023,USA,Hybrid,Front-wheel drive,3,2620,7,297,4850,17.8,32.7
1985,USA,Gasoline,Front-wheel drive,3,2080,5,239,4100,20.0,24.5
2008,USA,Hybrid,Front-wheel drive,4,2170,6,255,4240,17.7,32.7
1981,USA,Gasoline,Front-wheel drive,2,2320,6,278,4130,18.6,26.0
1986,Europe,Diesel,Front-wheel drive,5,1990,5,221,3700,,32.6
2022,USA,Gasoline,Front-wheel drive,4,2180,6,251,4100,21.0,32.5
1983,Europe,Gasoline,Front-wheel drive,4,2310,6,268,4200,17.9,26.0
2017,Europe,Gasoline,Front-wheel drive,3,2230,6,236,4240,19.2,29.7
2011,Asia,Gasoline,Rear-wheel drive,3,2510,7,271,4630,18.7,29.3
1983,USA,Diesel,Rear-wheel drive,3,2140,6,267,4540,20.3,31.3
1976,USA,Gasoline,Front-wheel drive,2,2440,7,,4140,18.3,25.5
2020,Europe,Gasoline,All-wheel drive,4,2540,6,267,4470,16.8,28.8
2005,USA,Gasoline,Front-wheel drive,2,2190,6,255,4020,20.7,31.1
1998,USA,Hybrid,All-wheel drive,5,2230,6,246,4250,18.2,31.8
1980,Asia,Gasoline,All-wheel drive,4,2660,7,277,4870,19.6,24.2
2024,USA,Hybrid,Front-wheel drive,5,2300,6,260,4310,18.0,36.3
1982,USA,Hybrid,Rear-wheel drive,3,2270,6,272,4450,18.4,32.3
2022,Europe,Gasoline,Front-wheel drive,2,1910,5,213,3660,19.7,38.5
2022,USA,Gasoline,All-wheel drive,4,2260,6,249,4850,22.0,29.7
2021,USA,Gasoline,Front-wheel drive,4,2260,6,247,4220,19.6,30.9
2011,USA,Gasoline,All-wheel drive,4,2580,7,279,4770,19.6,27.0
2014,Asia,Gasoline,Rear-wheel drive,3,2490,6,277,4240,21.1,28.3
1999,Asia,Hybrid,Rear-wheel drive,2,2470,7,289,4650,20.9,28.9
1998,USA,Gasoline,Front-wheel drive,3,2480,7,276,4650,19.7,27.9
1988,Europe,Gasoline,All-wheel drive,3,2150,6,249,4260,21.4,27.3
1979,USA,Gasoline,All-wheel drive,3,2550,6,,4600,19.0,23.7
2000,Asia,Gasoline,Front-wheel drive,3,2070,6,230,3990,17.6,30.6
1992,Europe,Gasoline,Front-wheel drive,2,2520,6,279,4140,19.1,28.3
1976,USA,Hybrid,Front-wheel drive,5,1960,5,226,4130,19.9,32.0
2023,Europe,Gasoline,Front-wheel drive,4,2380,6,261,4160,17.8,33.4
1997,USA,Hybrid,Front-wheel drive,4,2430,6,276,4480,18.7,29.0
1983,Asia,Gasoline,All-wheel drive,4,2410,6,249,4590,20.6,24.2
2014,USA,Gasoline,Front-wheel drive,2,2250,5,232,3820,18.0,32.1
2008,Europe,Gasoline,All-wheel drive,4,2390,6,265,4670,21.0,29.0
2024,USA,Gasoline,All-wheel drive,5,2110,6,238,4210,18.8,30.8
2011,USA,Gasoline,Front-wheel drive,4,2190,6,246,4340,17.1,29.8
1984,Asia,Hybrid,Front-wheel drive,5,2330,6,268,4310,18.1,30.4
2006,Asia,Diesel,Rear-wheel drive,2,2320,7,260,4430,19.1,31.0
1979,Asia,Gasoline,Rear-wheel drive,3,1940,6,235,3830,20.2,27.4
1981,Europe,Gasoline,Front-wheel drive,4,2360,6,262,4460,19.4,28.3
2013,USA,Gasoline,All-wheel drive,5,2120,6,249,4390,18.1,26.9
2010,Europe,Gasoline,Front-wheel drive,3,2290,6,236,4340,21.4,31.5
1988,USA,Diesel,Front-wheel drive,4,2160,6,261,4150,18.7,32.3
1997,Europe,Diesel,Front-wheel drive,3,2110,6,221,4080,19.9,31.6
1983,USA,Gasoline,All-wheel drive,2,2050,6,253,4270,18.9,26.2
2015,Europe,Gasoline,All-wheel drive,4,2760,7,300,4650,18.2,26.6
2003,Asia,Diesel,Rear-wheel drive,2,2350,6,261,4740,19.8,31.6
1987,Asia,Diesel,Rear-wheel drive,3,2470,7,282,4650,19.0,31.7
2006,Europe,Diesel,Front-wheel drive,4,2280,6,255,4230,18.3,33.3
1990,Asia,Gasoline,Front-wheel drive,4,2590,7,278,4320,17.2,26.0
1995,Asia,Hybrid,All-wheel drive,4,1990,5,204,3840,18.4,34.8
2022,Europe,Gasoline,Front-wheel drive,4,2040,6,246,4000,17.2,33.0
2011,Europe,Gasoline,Front-wheel drive,3,2450,7,255,4140,20.8,31.0
2003,Asia,Gasoline,Front-wheel drive,4,2410,7,254,4080,15.3,30.4
1998,USA,Gasoline,Front-wheel drive,3,2060,6,237,4230,17.6,27.2
1995,USA,Gasoline,Rear-wheel drive,5,2160,6,255,4470,18.1,25.8
2015,USA,Gasoline,Front-wheel drive,4,2610,7,272,4520,16.9,29.8
1978,Europe,Gasoline,All-wheel drive,4,2380,6,265,4400,22.5,28.3
1976,Europe,Diesel,Rear-wheel drive,3,2030,6,260,4030,16.6,32.6
1988,Asia,Gasoline,Front-wheel drive,3,2300,6,245,4030,18.1,29.6
2002,Asia,Gasoline,Rear-wheel drive,3,2440,7,275,4330,17.4,28.0
2024,USA,Diesel,All-wheel drive,4,2230,6,253,4500,19.1,33.1
1981,Asia,Gasoline,Front-wheel drive,4,2420,6,245,4490,19.4,27.9
1997,Europe,Gasoline,Front-wheel drive,3,2470,6,265,4330,19.9,32.2
2020,Europe,Gasoline,Front-wheel drive,2,2240,5,233,3730,16.2,32.0
1993,Europe,Hybrid,All-wheel drive,3,2180,6,240,4360,18.9,31.4
2003,Europe,Diesel,Front-wheel drive,4,2190,6,260,4330,20.8,33.2
1992,USA,Gasoline,Rear-wheel drive,3,2120,5,234,4470,20.7,27.2
1986,Asia,Gasoline,Front-wheel drive,2,2240,6,233,3950,20.2,29.0
2008,Asia,Gasoline,Front-wheel drive,4,2280,7,262,3860,19.3,31.6
1994,USA,Gasoline,Front-wheel drive,3,2380,6,287,4460,19.3,28.5
1978,USA,Diesel,All-wheel drive,3,2510,6,300,4940,21.9,24.3
2015,Europe,Diesel,Front-wheel drive,3,2180,6,227,3920,18.3,34.6
1985,Asia,Gasoline,All-wheel drive,2,2440,6,242,4240,18.0,27.8
2008,USA,Diesel,Front-wheel drive,2,2350,6,275,4220,19.8,33.3
1982,USA,Hybrid,Rear-wheel drive,4,2130,6,242,4520,18.4,31.3
2010,Asia,Gasoline,Rear-wheel drive,3,2390,6,271,4110,19.0,28.7
1983,USA,Gasoline,Front-wheel drive,3,2380,7,286,4460,21.2,26.0
2022,USA,Hybrid,Front-wheel drive,3,2330,6,286,4090,17.8,34.1
2016,USA,Gasoline,Rear-wheel drive,4,2380,7,279,4670,18.1,26.5
1998,USA,Gasoline,Front-wheel drive,2,2330,6,265,4140,18.8,28.5
1986,Asia,Gasoline,Rear-wheel drive,4,2140,6,238,4110,19.8,30.4
1998,USA,Gasoline,Front-wheel drive,4,2460,6,273,4640,20.6,28.6
1992,USA,Diesel,Rear-wheel drive,3,2340,7,294,4490,19.1,30.1
1997,Asia,Diesel,Rear-wheel drive,5,2180,6,249,4330,18.7,30.4
1977,Europe,Diesel,Rear-wheel drive,5,2400,6,267,4740,20.7,26.2
2014,Europe,Gasoline,All-wheel drive,3,2380,6,263,4640,18.1,30.5
1987,Asia,Gasoline,Front-wheel drive,3,2150,6,256,3850,18.6,30.7
1977,USA,Gasoline,Front-wheel drive,3,2420,6,248,4080,19.3,27.1
1997,Europe,Diesel,Front-wheel drive,5,1900,5,239,4060,17.4,35.1
2004,Asia,Diesel,All-wheel drive,4,2270,6,247,4380,18.8,31.4
1986,USA,Hybrid,Front-wheel drive,2,2520,6,280,4270,19.6,31.5
2014,Europe,Hybrid,Rear-wheel drive,4,2170,5,226,4200,19.6,37.7
2015,USA,Diesel,Front-wheel drive,4,2270,6,282,3970,16.8,33.6
1993,Europe,Gasoline,All-wheel drive,5,2580,7,281,4500,17.3,28.6
2013,USA,Diesel,All-wheel drive,5,2130,6,263,4580,17.9,32.3
2001,Europe,Gasoline,Front-wheel drive,3,2090,5,214,3760,17.6,32.1
2000,Europe,Gasoline,Rear-wheel drive,3,2410,7,280,4420,18.1,28.0
2010,USA,Gasoline,Front-wheel drive,5,2300,7,279,4510,21.0,28.4
2012,USA,Hybrid,All-wheel drive,2,2490,7,291,4610,16.4,33.6
2004,USA,Gasoline,Rear-wheel drive,4,2230,6,258,4280,18.1,29.0
1994,Europe,Gasoline,Front-wheel drive,3,2350,6,236,4310,21.0,30.8
1979,USA,Gasoline,All-wheel drive,2,2350,6,260,4880,20.7,25.9
1990,Europe,Gasoline,Rear-wheel drive,2,2270,6,246,4390,18.2,29.7
1994,USA,Diesel,Front-wheel drive,3,2060,6,242,3940,20.1,32.2
2023,USA,Gasoline,All-wheel drive,3,2370,6,257,4210,16.3,33.2
2021,USA,Gasoline,Front-wheel drive,4,2240,6,253,4320,19.7,31.4
1977,USA,Gasoline,All-wheel drive,4,2380,6,,4560,20.3,28.4
2003,Europe,Gasoline,All-wheel drive,4,2230,6,268,4520,18.6,27.7
1990,USA,Diesel,Front-wheel drive,4,2460,7,291,4650,20.1,28.6
1986,Europe,Hybrid,Front-wheel drive,3,2490,6,263,4340,15.4,34.4
2009,USA,Gasoline,Front-wheel drive,4,2120,5,227,4170,17.7,28.4
2007,Europe,Gasoline,Front-wheel drive,4,2080,5,211,3980,20.1,32.6
1996,Europe,Gasoline,Rear-wheel drive,2,2200,6,248,4220,18.1,30.5
1990,Asia,Gasoline,All-wheel drive,4,2200,6,229,4300,18.1,25.3
1990,USA,Gasoline,Rear-wheel drive,3,2580,7,283,4780,18.8,24.4
2009,USA,Hybrid,Rear-wheel drive,3,2560,7,284,4660,18.5,29.5
1977,USA,Gasoline,Rear-wheel drive,3,2080,6,214,4050,21.5,28.5
2010,Asia,Gasoline,Front-wheel drive,4,2450,6,286,4310,18.1,30.0
1996,Asia,Gasoline,Rear-wheel drive,4,1970,5,213,4000,18.1,31.7
2021,USA,Gasoline,Front-wheel drive,4,2000,5,230,4090,19.6,34.0
2024,Europe,Hybrid,All-wheel drive,2,2330,6,249,4260,19.4,37.5
2006,Europe,Gasoline,Front-wheel drive,2,2600,7,,4750,20.8,26.5
1997,Europe,Hybrid,Rear-wheel drive,5,2130,6,222,4320,18.9,34.8
1986,Asia,Gasoline,Front-wheel drive,4,1930,5,212,4140,18.2,30.1
1990,Europe,Gasoline,Front-wheel drive,4,2240,6,244,4170,,29.5
2015,USA,Gasoline,Front-wheel drive,4,2080,6,236,4240,19.0,33.4
1996,USA,Gasoline,Front-wheel drive,2,1970,5,230,3820,18.9,26.3
1985,USA,Gasoline,All-wheel drive,2,2340,6,269,4420,18.5,26.8
1985,Asia,Gasoline,All-wheel drive,4,2140,6,225,4170,19.6,31.0
1979,USA,Gasoline,Rear-wheel drive,5,2270,6,262,4280,19.1,25.6
1996,USA,Hybrid,All-wheel drive,4,2190,6,268,4560,20.3,31.2
2001,USA,Hybrid,Front-wheel drive,3,2150,6,236,3980,16.4,33.6
1985,Asia,Gasoline,Front-wheel drive,3,1720,5,187,3570,18.2,32.3
1977,USA,Hybrid,Rear-wheel drive,4,2210,6,250,4690,19.6,31.3
1979,Europe,Gasoline,All-wheel drive,5,2410,6,246,4510,19.2,23.7
1982,Europe,Gasoline,All-wheel drive,4,2460,6,279,4800,21.3,22.9
1988,USA,Gasoline,Front-wheel drive,4,2600,7,296,4690,19.1,24.3
2001,USA,Diesel,Rear-wheel drive,3,2400,7,304,4530,18.8,31.2
2007,Asia,Diesel,Front-wheel drive,3,2340,6,255,4320,20.5,31.6
1990,Asia,Gasoline,Rear-wheel drive,2,2410,6,266,4420,19.7,25.8
2013,USA,Gasoline,Front-wheel drive,3,2130,6,256,4090,17.7,33.3
1993,Europe,Gasoline,Rear-wheel drive,3,2490,6,279,4440,19.7,24.3
2014,USA,Gasoline,All-wheel drive,3,2520,7,295,4440,19.2,25.7
2001,USA,Gasoline,Front-wheel drive,2,2200,6,254,4420,19.4,29.0
1989,USA,Gasoline,Front-wheel drive,4,2260,6,261,4300,20.1,28.1
1982,Asia,Gasoline,Front-wheel drive,3,2200,6,248,3900,19.3,30.4
2019,Asia,Hybrid,Front-wheel drive,4,1780,5,213,3690,19.7,39.2
2016,USA,Gasoline,All-wheel drive,4,2160,6,254,4190,17.4,31.8
1977,Europe,Gasoline,Rear-wheel drive,5,2490,7,295,4900,21.5,24.0
2020,Asia,Gasoline,Rear-wheel drive,2,2330,6,262,4320,17.9,31.9
2021,Asia,Gasoline,Front-wheel drive,4,2410,6,264,4310,18.5,33.6
1979,USA,Diesel,Front-wheel drive,5,2190,6,286,4140,18.1,28.7
1985,Asia,Diesel,Rear-wheel drive,4,1830,5,199,3930,18.2,28.1
2018,USA,Gasoline,Rear-wheel drive,4,2070,6,270,4160,19.1,30.2
1996,Asia,Gasoline,Front-wheel drive,4,2130,7,247,4140,17.7,27.0
2022,Asia,Gasoline,Front-wheel drive,3,2160,7,255,4240,18.2,32.0
1991,USA,Diesel,Rear-wheel drive,2,2470,6,259,4410,19.6,29.6
2014,Asia,Gasoline,Front-wheel drive,3,2250,6,249,3820,18.3,32.3
1978,Asia,Gasoline,Front-wheel drive,3,2160,6,248,4030,17.9,31.2
2012,Europe,Gasoline,Front-wheel drive,2,2520,6,259,4400,19.6,30.6
2015,USA,Gasoline,Front-wheel drive,3,2280,7,271,4520,20.2,31.5
1986,USA,Gasoline,Front-wheel drive,4,2300,6,288,4500,18.3,23.3
1997,Europe,Gasoline,Front-wheel drive,2,2410,6,260,4410,17.4,27.5
2014,Europe,Gasoline,Rear-wheel drive,4,2130,6,250,4140,19.4,30.0
1994,USA,Gasoline,Rear-wheel drive,3,2490,6,279,4540,19.8,26.9
1979,Asia,Gasoline,All-wheel drive,3,2540,6,,4860,20.9,24.2
2000,Europe,Gasoline,Rear-wheel drive,5,2510,7,264,4670,20.8,29.5
1982,USA,Gasoline,All-wheel drive,4,2260,6,,4580,19.6,26.3
1980,Europe,Diesel,Rear-wheel drive,3,2320,6,,4240,18.8,30.9
1989,USA,Gasoline,Front-wheel drive,4,2460,6,294,4270,16.1,26.4
1978,USA,Gasoline,All-wheel drive,4,2070,6,,4510,18.2,24.1
1989,Europe,Gasoline,Front-wheel drive,5,2230,6,238,4180,18.6,31.7
2008,USA,Gasoline,Rear-wheel drive,5,2350,6,270,4580,21.1,26.1
1991,Asia,Gasoline,Front-wheel drive,3,2200,6,224,3860,20.0,29.1
1992,Asia,Gasoline,Front-wheel drive,4,2200,6,225,4110,17.7,28.2
1982,USA,Diesel,Front-wheel drive,4,2480,6,,4610,19.0,27.1
1991,Asia,Gasoline,Rear-wheel drive,3,2320,6,238,3930,18.7,32.4
2016,USA,Diesel,Front-wheel drive,4,2560,7,324,4750,18.8,27.4
1983,Europe,Gasoline,Front-wheel drive,3,2240,6,,3750,19.1,29.8
2015,USA,Diesel,Front-wheel drive,5,2210,6,258,4510,20.8,32.7
1982,USA,Gasoline,Rear-wheel drive,2,2420,7,274,4630,21.6,23.2
2011,Europe,Gasoline,Rear-wheel drive,5,2080,5,236,4100,17.5,33.8
1985,Europe,Gasoline,Front-wheel drive,4,2280,6,225,4240,19.1,26.6
1995,Europe,Gasoline,Front-wheel drive,3,1980,5,199,3910,20.4,34.1
1991,Asia,Gasoline,All-wheel drive,4,2000,6,206,4110,19.4,30.1
1995,USA,Gasoline,All-wheel drive,2,2300,6,252,4570,19.8,26.7
2006,USA,Gasoline,All-wheel drive,5,2590,7,310,5010,19.0,24.0
2012,USA,Gasoline,Front-wheel drive,3,2350,6,265,4310,18.2,31.4
1978,USA,Gasoline,Front-wheel drive,4,2270,6,262,4170,19.1,29.2
2008,Europe,Diesel,Front-wheel drive,2,2150,5,233,4100,19.2,33.4
1992,Asia,Gasoline,Front-wheel drive,2,2040,6,245,3660,19.2,32.3
2002,USA,Hybrid,All-wheel drive,5,2240,6,275,4280,18.5,32.2
1986,USA,Gasoline,All-wheel drive,4,2120,6,265,4270,18.0,25.0
2012,Europe,Gasoline,Front-wheel drive,3,2390,6,266,4220,18.7,32.6
2021,Asia,Diesel,Front-wheel drive,3,2230,6,260,4000,16.4,33.7
1978,Asia,Gasoline,Rear-wheel drive,4,2430,7,,4530,18.8,24.8
2022,Asia,Diesel,Front-wheel drive,5,2240,7,276,4220,19.3,34.2
2007,Europe,Gasoline,Rear-wheel drive,5,2590,6,278,4410,19.5,29.9
2024,Asia,Gasoline,Front-wheel drive,3,2330,7,265,4200,19.2,30.2
1980,Europe,Gasoline,Front-wheel drive,3,2170,7,232,3870,18.1,31.1
2017,Asia,Gasoline,Front-wheel drive,4,2000,5,224,3990,19.2,31.0
2012,Asia,Diesel,Rear-wheel drive,3,2220,6,255,4320,19.3,34.8
2010,USA,Hybrid,All-wheel drive,2,2140,6,270,4400,18.6,32.9
2018,Europe,Gasoline,All-wheel drive,3,2230,6,224,3950,20.9,31.7
1976,Asia,Diesel,All-wheel drive,3,1900,5,244,4160,17.1,30.0
1996,Europe,Diesel,Front-wheel drive,3,2310,6,261,4040,18.7,30.2
1995,USA,Diesel,Front-wheel drive,4,2530,7,270,4530,18.1,30.9
2009,USA,Gasoline,Front-wheel drive,3,2240,6,265,4180,18.9,28.3
1977,USA,Gasoline,Rear-wheel drive,2,2420,7,279,4480,21.3,22.5
1995,Europe,Diesel,Rear-wheel drive,3,2110,6,240,4440,19.0,31.2
2011,Europe,Gasoline,Front-wheel drive,3,2330,6,236,4300,18.8,30.3
1994,Europe,Gasoline,Rear-wheel drive,5,2330,6,261,4390,19.4,27.6
1989,USA,Diesel,All-wheel drive,4,2320,6,263,4790,19.6,26.2
2024,USA,Gasoline,Front-wheel drive,4,2240,6,268,4460,18.0,30.7
2010,USA,Gasoline,Front-wheel drive,5,2270,6,264,4060,17.3,31.0
2000,Asia,Gasoline,Front-wheel drive,5,2470,7,279,4550,17.4,28.4
2001,Europe,Gasoline,Rear-wheel drive,3,2480,7,270,4640,20.0,29.7
1980,Europe,Gasoline,Front-wheel drive,3,2390,7,282,4330,17.2,24.2
1993,Europe,Gasoline,All-wheel drive,4,2160,5,219,4120,19.9,28.7
2011,Asia,Gasoline,Rear-wheel drive,3,2140,6,228,4180,18.7,32.5
1992,Asia,Gasoline,Rear-wheel drive,2,2420,6,270,4300,19.0,27.2
2019,Europe,Gasoline,Front-wheel drive,4,2040,6,240,4180,16.9,32.4
1989,USA,Hybrid,Front-wheel drive,3,2190,6,243,4070,18.9,32.6
2020,USA,Gasoline,Rear-wheel drive,5,2580,6,276,4700,20.5,25.4
1989,USA,Gasoline,Front-wheel drive,3,2370,7,275,4250,17.1,27.3
1983,Asia,Gasoline,Rear-wheel drive,2,2420,7,,4340,19.4,26.2
2012,USA,Diesel,All-wheel drive,3,2640,7,290,4740,20.3,27.1
2011,USA,Gasoline,Rear-wheel drive,2,1980,5,238,4220,19.0,33.1
1982,USA,Gasoline,Front-wheel drive,4,2100,6,222,4040,21.2,27.1
2006,Europe,Gasoline,Front-wheel drive,4,2050,6,228,3980,18.5,34.8
1999,Europe,Gasoline,Front-wheel drive,4,2570,7,276,4380,18.8,28.9
1996,Asia,Gasoline,Front-wheel drive,4,2390,6,242,4330,20.8,29.4
1982,USA,Diesel,All-wheel drive,3,2280,6,281,4660,21.2,26.0
1977,Europe,Gasoline,Rear-wheel drive,3,2330,6,255,4350,18.1,26.6
2006,Europe,Hybrid,Front-wheel drive,3,2220,6,224,4050,18.6,36.2
2022,USA,Gasoline,Rear-wheel drive,3,2490,6,282,4550,20.0,32.2
2009,Asia,Diesel,Front-wheel drive,4,2190,5,229,4050,19.4,30.9
2003,USA,Diesel,All-wheel drive,5,2190,6,290,4170,16.9,28.8
2020,Europe,Gasoline,Front-wheel drive,2,2210,6,246,4200,18.9,33.2
2000,Europe,Gasoline,Front-wheel drive,2,2170,6,232,4280,18.8,28.2
1993,USA,Gasoline,Front-wheel drive,4,2250,6,263,4360,16.8,28.2
2016,Asia,Gasoline,Front-wheel drive,3,2280,6,246,4100,16.8,33.9
2019,Asia,Gasoline,Rear-wheel drive,2,1810,5,209,3760,17.5,35.4
1985,USA,Gasoline,Rear-wheel drive,3,2110,5,244,4260,17.0,26.8
2017,Europe,Diesel,Front-wheel drive,4,2350,6,247,4260,20.0,34.1
2010,USA,Gasoline,Front-wheel drive,5,2340,6,267,4420,18.1,29.9
1977,USA,Gasoline,Rear-wheel drive,3,2410,6,240,4480,20.6,25.2
1982,USA,Gasoline,All-wheel drive,4,2200,6,,4570,20.1,24.7
1992,USA,Gasoline,Rear-wheel drive,5,2430,6,269,4720,18.4,25.5
2008,Asia,Gasoline,Rear-wheel drive,2,2380,6,247,4470,18.8,31.1
1975,USA,Gasoline,Front-wheel drive,4,2170,6,,4140,17.7,28.0
2020,USA,Gasoline,Rear-wheel drive,5,1790,6,223,4240,18.2,31.5
1984,USA,Gasoline,Front-wheel drive,5,2280,6,242,4190,19.5,30.7
1990,Europe,Gasoline,Front-wheel drive,3,2360,6,268,4170,,26.9
2012,USA,Gasoline,Front-wheel drive,5,2390,6,257,4370,19.1,29.4
2020,Asia,Gasoline,Front-wheel drive,4,2300,6,256,4140,19.0,32.1
2011,Asia,Gasoline,Front-wheel drive,3,2270,6,251,3950,19.2,31.1
1990,USA,Gasoline,Front-wheel drive,3,2460,6,258,4330,18.0,25.9
2018,USA,Gasoline,Front-wheel drive,4,2030,6,201,4090,19.2,32.2
1984,USA,Diesel,Rear-wheel drive,3,2220,6,,4170,19.4,26.7
2022,Europe,Gasoline,Rear-wheel drive,2,1980,6,232,4150,19.4,30.3
2022,USA,Gasoline,Rear-wheel drive,2,2050,6,224,4060,17.5,32.0
1981,Asia,Gasoline,Front-wheel drive,2,2260,6,,4060,18.0,27.8
2019,USA,Gasoline,All-wheel drive,5,2260,7,270,4730,19.2,27.9
2000,Asia,Gasoline,Front-wheel drive,4,2240,6,236,4020,18.3,31.9
2008,Asia,Gasoline,Rear-wheel drive,4,2250,6,245,4230,18.2,28.7
1992,Europe,Gasoline,Front-wheel drive,3,2550,7,276,4120,17.2,26.0
1979,Europe,Gasoline,Front-wheel drive,3,1970,6,238,3900,19.4,28.5
1981,USA,Gasoline,Front-wheel drive,5,2080,6,232,4040,21.4,30.5
2020,Asia,Diesel,Front-wheel drive,4,2180,6,268,4140,19.3,35.1
2009,Europe,Gasoline,Front-wheel drive,3,2150,6,227,4030,19.4,31.4
1987,Europe,Gasoline,Rear-wheel drive,4,2070,6,224,4180,18.5,28.7
2015,Asia,Gasoline,Front-wheel drive,4,1970,5,,4240,18.5,30.9
2006,Europe,Gasoline,Front-wheel drive,4,2210,6,251,4380,20.9,28.1
1999,Europe,Gasoline,Rear-wheel drive,3,2310,6,238,4570,18.2,24.5
1985,USA,Diesel,All-wheel drive,2,2130,6,263,4090,18.6,26.8
1997,Europe,Gasoline,All-wheel drive,3,2140,6,250,3980,16.2,28.9
2009,Asia,Diesel,All-wheel drive,4,2350,6,268,4760,18.0,33.0
1980,USA,Diesel,Rear-wheel drive,5,2080,6,254,4250,19.6,27.2
2008,Asia,Gasoline,Front-wheel drive,4,2250,6,233,3950,19.5,34.4
2021,Asia,Gasoline,Rear-wheel drive,3,2240,6,234,4340,20.5,33.0
1994,USA,Gasoline,Rear-wheel drive,3,2620,7,266,4740,20.2,25.2
1985,Europe,Gasoline,Rear-wheel drive,3,2130,6,237,4220,,30.4
1977,Europe,Gasoline,Rear-wheel drive,4,2010,6,,4420,20.9,26.5
2005,Asia,Gasoline,Rear-wheel drive,4,2100,6,232,4110,20.5,31.2
1990,USA,Gasoline,Front-wheel drive,4,2350,6,263,4500,19.7,26.1
1989,Asia,Diesel,Rear-wheel drive,4,2160,5,237,4320,18.5,30.9
1999,Europe,Gasoline,Front-wheel drive,3,2280,6,244,4380,19.0,30.5
1978,Europe,Gasoline,Front-wheel drive,5,2220,6,,4250,17.7,30.0
2016,Europe,Gasoline,Front-wheel drive,2,2200,6,249,4040,20.2,29.6
2005,Europe,Gasoline,Rear-wheel drive,3,2270,7,239,4360,19.4,31.4
2024,Asia,Gasoline,Rear-wheel drive,3,2210,6,236,4390,18.0,33.2
1976,USA,Gasoline,Front-wheel drive,2,2160,5,244,4230,17.6,27.6
1976,Europe,Gasoline,Front-wheel drive,2,2170,6,241,4130,18.8,27.6
2001,Europe,Gasoline,All-wheel drive,4,2250,6,253,4300,20.4,28.3
1977,Asia,Diesel,Front-wheel drive,5,2470,6,273,4250,18.9,31.3
2020,Europe,Diesel,Front-wheel drive,4,2230,6,243,4280,20.1,33.3
2021,Europe,Gasoline,Front-wheel drive,2,2360,6,279,3910,18.6,31.3
2000,Asia,Diesel,All-wheel drive,5,2270,6,276,4490,16.9,33.9
1998,Europe,Gasoline,All-wheel drive,3,2100,6,229,4280,19.4,31.3
1999,Asia,Diesel,Front-wheel drive,2,1940,5,231,3960,18.8,35.4
1985,USA,Diesel,All-wheel drive,2,1780,5,231,4030,19.2,28.3
1989,Asia,Gasoline,Front-wheel drive,3,2480,7,274,4410,18.4,30.1
2009,Europe,Gasoline,Rear-wheel drive,4,2270,6,220,4300,20.0,31.6
1984,Asia,Gasoline,Front-wheel drive,5,2370,6,246,4340,19.0,25.7
1976,Europe,Hybrid,Front-wheel drive,3,2370,6,265,4420,20.4,31.4
